"player_username","score","rank_score","leaderboard_win_rate","level"
"Doomеd",2205282,5282.6202493463,"62.9%",23
"-0606-",2205273,5273.6000815696,"67%",23
"cоopertastic",2205259,5259.2739629657,"73.1%",23
"DatBaconTho",2205246,5246.9074003885,"67.6%",23
"bedtime5tory",2205246,5246.3774029291,"80%",23
"Sypeh",2205244,5244.7316568661,"82.9%",23
"stravery",2205242,5242.9422923129,"78%",23
"tekixd",2205240,5240.1452343466,"69.2%",23
"reallyst1cky99",2205235,5235.6930428042,"61.7%",23
"Monzter",2205235,5235.1498624793,"61%",23
"Jimmybrо",2205234,5234.7598532839,"76.6%",23
"MіrrоR",2205224,5224.5714206286,"61.2%",23
"Woofles.",2205224,5224.3589622246,"72.7%",23
"criatic",2205220,5220.2156111502,"71.1%",23
"HULK KING.",2205217,5217.6728793775,"59.2%",23
"Kendr1c",2205216,5216.4503427892,"62.4%",23
"Nеcrize",2205214,5214.0640707131,"55%",23
"averyomi",2205209,5209.4782922899,"66.7%",23
"YZNSA",2205208,5208.4462100571,"65.2%",23
"Collin -",2205207,5207.3006304642,"79.5%",23
"Benthefarmer96",2205206,5206.9271820883,"69.6%",23
"kq43",2205203,5203.7023828569,"78%",23
"рky",2205202,5202.3224253262,"62.9%",23
"CO2Madara",2205201,5201.9927688873,"63.2%",23
"okwandoianmmwd",2205200,5200.0165959762,"65.5%",23
"criatic2",2205198,5198.9199967955,"64%",23
"Grandfyll",2205198,5198.3177705061,"63.7%",23
"VP Nevix",2205194,5194.2691072732,"62.2%",23
"kаyа",2205190,5190.3200068955,"58.7%",23
"我就一张牌了",2205189,5189.6710577919,"68.9%",23
"7h4nos",2205188,5188.7784567134,"60%",23
"month",2205187,5187.9837067421,"59.7%",23
"agndfgjnfghjgf",2205186,5186.7982706738,"83.3%",23
"AbooHuu",2205186,5186.7759618528,"63.9%",23
"alurа",2205184,5184.858362574,"58.5%",23
"Veswa",2205184,5184.5158343236,"63.2%",23
"stіnkrs",2205184,5184.2718577111,"57.2%",23
"junyа",2205184,5184.265302574,"60.6%",23
"rеspect",2205182,5182.5425962498,"80.5%",23
"сhime",2205181,5181.5752846918,"67.6%",23
"Kragiе",2205179,5179.5677072221,"65.4%",23
"Voldemortᅠ",2205177,5177.1588697635,"73.2%",23
"alrеady dеad",2205176,5176.8774132135,"63%",23
"Sеstroyеd",2205175,5175.9245516216,"65.6%",23
"Lеgendary",2205175,5175.1047754406,"74.5%",23
"Jаshido",2205174,5174.6173076681,"66.2%",23
"sham1",2205174,5174.2802925925,"58.2%",23
"Y19251658",2205174,5174.0359480164,"80.6%",23
"NugNugTTV",2205173,5173.1107257222,"65.4%",23
"Woofles >_<",2205172,5172.5663050183,"64.2%",23
